TRACTCE,GEOID,NAMELSAD,racewhite1620_est,raceaa1620_est,raceasian1620_est,raceamind1620_est,raceoth1620_est,hispanic1620_est,noncitizens1620_est,pubtrans1620_est,walkoth1620_est,medincacs1620_est,gini1620_est,noveh1620_est
1902,55025001902,Census Tract 19.02,88.1,0,8.9,0,0.6,2.4,3,21.9,20.4,75625,0.4215,4.4
506,55025000506,Census Tract 5.06,65.7,20.4,1.3,0,6.2,6.4,2.7,3.3,2.8,52598,0.3785,9.4
11407,55025011407,Census Tract 114.07,87.5,4.4,2.5,0.2,4.1,1.4,0.7,1.3,6.8,57479,0.4487,1.9
1405,55025001405,Census Tract 14.05,81.9,3.5,4.8,0,0.6,9.3,8.4,3.2,3.6,80792,0.3595,4.8
10504,55025010504,Census Tract 105.04,92.5,5.3,0,0,2.2,0,1.2,0,4.3,71975,0.2882,0.8
12003,55025012003,Census Tract 120.03,86.6,0.6,3.2,0,4.5,5,0.9,0,1.5,102131,0.3342,0.9
11403,55025011403,Census Tract 114.03,76,3.9,6.8,0.6,3.2,9.5,0.3,1,0.9,105625,0.3924,0.8
11406,55025011406,Census Tract 114.06,82.7,2.2,10.2,0,1.2,3.7,1.6,0.5,0.6,88789,0.3005,7.5
10908,55025010908,Census Tract 109.08,85.9,0.7,10.4,0.8,1.9,0.4,4.6,0,3.9,114015,0.4466,0.6
410,55025000410,Census Tract 4.10,50.5,3.8,10.9,2.4,21,11.3,17.8,1.1,0,52360,0.2703,0
11507,55025011507,Census Tract 115.07,82.5,8.5,1.1,0,2.4,5.4,1.3,0,5.6,88505,0.3599,2.9
10905,55025010905,Census Tract 109.05,74.1,1.3,13.6,0,2.6,8.3,8,1.7,0,85583,0.2947,3.3
11202,55025011202,Census Tract 112.02,90.7,0,1.1,0.1,1.2,6.9,1.6,0.5,4.2,110536,0.4149,1.1
11508,55025011508,Census Tract 115.08,86.7,0.6,9.8,0,1.3,1.6,0.9,0,3,102692,0.3453,0
10906,55025010906,Census Tract 109.06,64.6,2.4,29.6,0,0.2,3.2,15.8,1.6,2.9,126046,0.4995,4.2
10801,55025010801,Census Tract 108.01,77.5,3.1,6.2,0,1.1,12.2,3.9,1.4,2.7,97589,0.4242,2.6
409,55025000409,Census Tract 4.09,52.8,9,19.2,0,3,16,12.1,8.2,7.2,81667,0.4415,2.1
10503,55025010503,Census Tract 105.03,91.1,1.4,4.1,0.1,0.8,2.5,0.9,0,1,107750,0.3962,0.7
13201,55025013201,Census Tract 132.01,89.9,0.4,0.2,0,0.5,9.1,1.5,0.1,4.8,103092,0.3685,1.6
505,55025000505,Census Tract 5.05,69.7,3.4,2.5,0.3,2.9,21.1,5.2,2.6,1,74258,0.3809,4.9
13202,55025013202,Census Tract 132.02,94.8,0.6,0.2,0,0.9,3.6,0.3,0.4,1.3,99102,0.4098,9.5
11201,55025011201,Census Tract 112.01,87.5,0.4,6.8,0,1.8,3.5,5.5,0,4.1,94986,0.369,1.4
11104,55025011104,Census Tract 111.04,81.2,0.4,6.1,0.7,8.4,3.1,8.4,0.7,6.9,146382,0.408,0.8
10802,55025010802,Census Tract 108.02,85.3,5.1,2.5,0,7.1,0,2.3,0,3.3,122982,0.2752,0
10907,55025010907,Census Tract 109.07,88.2,0,8.4,0.4,1.9,1.1,2.2,0,2.5,119688,0.4747,0
11405,55025011405,Census Tract 114.05,74,2.8,13.9,0.8,5.5,2.9,11.4,1.6,4,76875,0.3606,2.7
11404,55025011404,Census Tract 114.04,83.5,1.1,8.7,0,2.5,4.3,4.9,1.6,4.2,91447,0.3412,0
1404,55025001404,Census Tract 14.04,57.9,10.4,4,0,6.9,20.7,9.7,1.3,9.2,83514,0.4916,6.6
11103,55025011103,Census Tract 111.03,82.1,4.8,5.7,0,2.1,5.3,6.1,3.6,2.5,65786,0.4692,5.8
1901,55025001901,Census Tract 19.01,88.2,3,3.4,0.1,2.6,2.6,3.6,13.4,25.7,70080,0.4427,6
1707,55025001707,Census Tract 17.07,88.9,0.4,1.4,0.3,7.6,1.4,1.5,31.2,17,50391,0.3597,25.9
1706,55025001706,Census Tract 17.06,90.1,0,2,0,2.2,5.8,4.1,8,53,46641,0.649,27
301,55025000301,Census Tract 3.01,54,1.7,37.4,1.4,1.8,3.7,33.9,30.9,11.2,37016,0.5632,19.2
302,55025000302,Census Tract 3.02,71.2,0,18.9,0,5.8,4.1,3.5,3.8,17.4,117321,0.349,12.2
408,55025000408,Census Tract 4.08,73.4,10.5,8.4,0.5,3.3,4,6.3,13.6,3.1,40211,0.3892,25.5
902,55025000902,Census Tract 9.02,76.3,1.9,12,1.9,4.9,3,6.3,17.7,40.4,41533,0.5954,16.8
1102,55025001102,Census Tract 11.02,66.5,3,19.8,0.2,3.2,7.3,15.2,9.6,75.9,11635,0.4481,28.6
1606,55025001606,Census Tract 16.06,78.8,1.7,13,0.1,2.7,3.7,8.3,14.7,46.3,23445,0.5441,43.7
1804,55025001804,Census Tract 18.04,74.2,5.1,10.6,0,2.6,7.6,5.6,14.6,16.6,56209,0.4589,11.3
13301,55025013301,Census Tract 133.01,79.3,1,5.4,0.3,6.6,7.4,2.3,0,3.8,72457,0.3393,0.7
407,55025000407,Census Tract 4.07,49.1,20.2,4.1,0,15.6,11.1,5.6,7.3,3.1,65215,0.3813,2.5
901,55025000901,Census Tract 9.01,90.4,1.2,1.4,0,2,5.2,5.2,11.2,33.7,157647,0.4528,10.4
1101,55025001101,Census Tract 11.01,76.7,4.5,14.1,0,2.3,2.5,11.9,14,53.1,15905,0.6458,59.5
1605,55025001605,Census Tract 16.05,82.2,1.7,11.6,0,1.3,3.1,6.9,9.7,32.5,48545,0.5009,28.3
1704,55025001704,Census Tract 17.04,76.1,11.8,3.3,0.4,2.1,6.3,3.3,12.2,43.8,63665,0.5623,26.3
10903,55025010903,Census Tract 109.03,85.8,0,9,1.6,3.6,0,1.7,0.5,1.9,107321,0.4651,0
1802,55025001802,Census Tract 18.02,84.4,4.4,3,0,1.2,7,3,17.1,20.6,65625,0.4289,8.5
406,55025000406,Census Tract 4.06,79.2,1,13.2,0,4.4,2.2,4.2,0.8,0.5,74009,0.3954,8.2
1604,55025001604,Census Tract 16.04,75.8,0.8,15.1,0,3.1,5.3,10.2,16.5,56.6,21645,0.5489,58.6
13302,55025013302,Census Tract 133.02,89.4,0,2.1,0.2,6.2,2.1,0.6,0,2.8,97659,0.3277,3.7
1603,55025001603,Census Tract 16.03,78.7,1.6,11.4,0.1,1.7,6.4,8.2,20.4,51.5,16500,0.5257,51.2
12004,55025012004,Census Tract 120.04,95.1,0,2.3,0,0.1,2.5,1.6,0,2.8,81758,0.3061,4.9
504,55025000504,Census Tract 5.04,72.7,9.9,7,0.2,4.7,5.7,5.8,1,2,93600,0.3021,0.6
600,55025000600,Census Tract 6,31.3,11.5,11.1,0.2,12.4,33.5,18.2,1.4,3.1,39732,0.4214,7.9
700,55025000700,Census Tract 7,91.3,1.3,2.3,0,3.2,2,1.7,7.6,5.5,128272,0.3744,1.9
800,55025000800,Census Tract 8,73,1.5,6.9,0,13.1,5.5,5.8,8.8,23.4,75778,0.417,6.8
1000,55025001000,Census Tract 10,90.2,1.1,4.9,0,0.9,2.9,2.1,8.7,20.8,98681,0.3767,4.7
2401,55025002401,Census Tract 24.01,80.8,6.6,2.5,0.7,3.4,6,1.3,4.7,2,75083,0.3381,7.1
2402,55025002402,Census Tract 24.02,61.7,16.3,5.4,0.1,7.2,9.4,9,6.6,5.6,61875,0.3982,14.1
2500,55025002500,Census Tract 25,58,21.9,1.2,0,1.2,17.8,14.4,5.4,8.5,35167,0.4565,5.1
2601,55025002601,Census Tract 26.01,69.6,10.8,3.4,0,2.7,13.4,3.3,5,5.7,51759,0.3979,3.2
2602,55025002602,Census Tract 26.02,71.6,8.3,2.1,0.4,7,10.6,5.3,3.8,5,56111,0.3997,8.6
2603,55025002603,Census Tract 26.03,55.7,19.6,14.8,0,1.8,8.2,6.9,5.7,0.1,55299,0.377,22.9
2700,55025002700,Census Tract 27,85.4,4,2.1,0.4,1.8,6.3,2.8,7.2,5.1,52176,0.4165,5.7
2800,55025002800,Census Tract 28,90.2,1.4,1,0,1.5,6,1,3.4,2.5,74471,0.2942,1.5
2900,55025002900,Census Tract 29,79.8,3.7,3.1,0,4.7,8.7,4.3,2,1.6,66729,0.3091,3.1
3001,55025003001,Census Tract 30.01,88.3,3.6,3.9,0,0.9,3.3,1.3,4.5,2.3,82000,0.3144,4
3100,55025003100,Census Tract 31,80.9,4,4,1.1,3.6,6.3,1.1,2.8,0.2,89505,0.3885,3.7
3200,55025003200,Census Tract 32,27.6,15.7,46.4,1.5,4.2,4.6,54,53.3,14.6,40139,0.4832,23.2
10100,55025010100,Census Tract 101,81.7,1.9,10,0.3,2.9,3.1,8,11.7,22.6,131389,0.5281,1.8
10501,55025010501,Census Tract 105.01,85.1,3.3,2.2,0,5.7,3.8,0.5,0.5,1.3,98237,0.2666,2.1
13700,55025013700,Census Tract 137,94.4,3.2,0.6,0,0.6,1.2,1,0,3.7,78780,0.431,8.9
1200,55025001200,Census Tract 12,86,3.3,5.3,0.2,1.1,4.1,2.1,11.6,27.9,61779,0.5113,10.8
10200,55025010200,Census Tract 102,90.7,0,0,0,0.5,8.8,0.7,2.6,4.7,164375,0.4727,0.6
10300,55025010300,Census Tract 103,90,0.7,2.7,0,2.2,4.3,0.6,3.9,5.6,99779,0.4047,3.6
10400,55025010400,Census Tract 104,90.5,2.4,1,0,2.7,3.4,4.4,0.9,2.7,71377,0.4174,9.6
10701,55025010701,Census Tract 107.01,87.3,0.9,2.3,0,2,7.5,1.8,0,3.6,116354,0.3911,1.2
11000,55025011000,Census Tract 110,81.4,3,1.4,0,5.2,8.9,4.4,1.9,4.1,78750,0.4467,1.7
501,55025000501,Census Tract 5.01,67.8,14.7,5.8,0.8,0,10.9,5.5,1.4,4.1,79148,0.3831,5
1300,55025001300,Census Tract 13,84.6,3.3,5.6,0.7,1,4.8,4.7,6.4,13.7,66736,0.4227,10
11101,55025011101,Census Tract 111.01,74,11.1,2.7,0.1,5.7,6.5,1.8,3.5,5.7,52656,0.4315,14.9
11302,55025011302,Census Tract 113.02,87.9,1.3,1.2,0,0.4,9.1,3.1,0,3.8,85618,0.3721,6.3
11504,55025011504,Census Tract 115.04,82,7.5,4.4,0,4.4,1.7,3.5,0.2,2.9,85541,0.3617,1.8
11505,55025011505,Census Tract 115.05,65.4,16.2,1.3,0.6,3.8,12.6,5.9,0,3.8,57537,0.381,3.5
1401,55025001401,Census Tract 14.01,38,12.7,9.4,0.1,2.6,37.2,14.8,8.1,8.4,43010,0.411,8.6
1501,55025001501,Census Tract 15.01,70.6,19.8,0.8,0,0.7,8.1,4.7,4.1,6.2,54926,0.4195,7.6
991703,55025991703,Census Tract 9917.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11506,55025011506,Census Tract 115.06,68.9,10.4,6.6,2,8.6,3.5,3.5,2.9,4.1,61510,0.3752,8.2
2000,55025002000,Census Tract 20,84.4,4.3,2,0.1,5.9,3.4,3.2,10.2,16.3,75664,0.3811,7.7
2100,55025002100,Census Tract 21,72.3,5.3,1.9,0.9,11.2,8.4,3.1,9.7,13.6,51424,0.3781,9.3
2200,55025002200,Census Tract 22,62.4,19.4,4.3,0.5,8.5,4.8,3.3,12,4.5,51503,0.3917,6.6
204,55025000204,Census Tract 2.04,52.3,14.8,23.9,1,2.4,5.7,20.8,5.4,11.8,82717,0.4373,9.3
12201,55025012201,Census Tract 122.01,97.5,0.2,0,0.6,0.3,1.4,0,0.1,8.1,63241,0.3918,4.8
12202,55025012202,Census Tract 122.02,94.8,0.9,0,0.1,2.8,1.4,1.4,0.1,7.7,64870,0.3863,10.1
11301,55025011301,Census Tract 113.01,92.2,2.2,0.5,0,1.8,3.3,1,0,2.2,105375,0.429,7.4
12300,55025012300,Census Tract 123,95.5,1,0.2,0,0.9,2.4,2.8,0,4.9,78504,0.3742,2.1
13000,55025013000,Census Tract 130,93.8,0.2,0.1,0,2.4,3.5,0.9,0,2,90473,0.3556,0
11700,55025011700,Census Tract 117,86.5,0.2,1.6,0.2,6.4,5.1,0.3,0.6,4.2,105417,0.3546,0
11600,55025011600,Census Tract 116,87.3,5.3,3.1,0,2.7,1.6,1.3,1,3,83446,0.3471,8
2302,55025002302,Census Tract 23.02,72.9,17.2,3.2,0.4,4.1,2.2,0.1,3.8,2.1,71875,0.4915,0
12100,55025012100,Census Tract 121,91.7,0.4,0.5,0,1.1,6.3,1.2,0,1.3,86184,0.3296,0.5
205,55025000205,Census Tract 2.05,81.9,0.8,10.2,0,3.1,4,3.1,3,2.6,100000,0.4049,5.2
12900,55025012900,Census Tract 129,96.8,0,0.5,0.1,1.2,1.4,0.5,0,3.5,97854,0.3919,1.8
10600,55025010600,Census Tract 106,82.8,0.8,2.8,0,7.5,6,2.7,0.1,2.1,96016,0.443,1.9
201,55025000201,Census Tract 2.01,87.1,0,2.3,0.8,1.9,7.9,1.3,7,13.1,92460,0.4334,2.9
12002,55025012002,Census Tract 120.02,95,0.3,0.1,0.6,1.1,3,0.9,0,2.5,88984,0.4194,1.4
10702,55025010702,Census Tract 107.02,80.2,5.7,4.3,0.5,4.2,5.2,7.2,0.1,4.2,97037,0.4159,0.2
1502,55025001502,Census Tract 15.02,52.9,12.4,7.6,0,3.6,23.5,10.6,2.2,1.8,57713,0.4317,6.9
991702,55025991702,Census Tract 9917.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1402,55025001402,Census Tract 14.02,62.2,6.2,6.4,1.3,3.4,20.4,16.5,3.4,15.2,60862,0.4277,8.1
3002,55025003002,Census Tract 30.02,66.1,10.6,2.2,0,5.7,15.3,3.6,1.8,5,59339,0.3337,14.3
202,55025000202,Census Tract 2.02,70.9,5.6,12.1,0,4.3,7.2,6.9,6.5,7.2,88092,0.4074,3.8
12400,55025012400,Census Tract 124,94,0.4,1.7,0.2,2,1.8,0.6,0,1.3,93021,0.3822,1.6
100,55025000100,Census Tract 1,74.6,2,8.4,0,2.6,12.4,5.8,7.8,13.1,74054,0.4905,6.9
2301,55025002301,Census Tract 23.01,47.5,24.8,11.3,0,5.2,11.3,2.8,4.6,3.6,49524,0.4259,12.1
401,55025000401,Census Tract 4.01,88.6,0.6,6.3,0,2,2.5,2.7,10.1,14,100434,0.3292,0.9
402,55025000402,Census Tract 4.02,69.6,1.8,12.7,0,4,12,11.4,7.1,11.6,105850,0.3486,2.8
